time,open,high,low,close
2024-05-27,34502.621,34761.969,34457.391,34761.969
2024-05-28,34861.371,34873.012,34534.09,34659.551
2024-05-29,34595.828,34637.09,34073.059,34150.539
2024-05-30,34015.699,34476.66,34009.691,34447.57
2024-05-31,34528.352,34552.621,34319.762,34492.41
2024-06-03,34802.75,34852.07,34615.27,34670.059
2024-06-04,34615.309,34615.309,34157.891,34276.02
2024-06-05,34433.629,34741.5,34397.461,34507.84
2024-06-06,34696.148,34861.059,34502.16,34834.301
2024-06-07,34971.02,34972.828,34461,34660.379
2024-06-10,34427.441,34542.012,34241.191,34542.012
2024-06-11,34615.539,34638.609,33722.5,33874.48
2024-06-12,34045.16,34394.512,33991.109,34358.828
2024-06-13,34310.961,34321.73,33557.809,33609.852
2024-06-14,33579.879,33593.309,32474.131,32665.211
2024-06-17,32915.941,33103.371,32590.119,32908.051
2024-06-18,33224.289,33353,33088.898,33315.68
2024-06-19,33351.871,33506.488,33214.672,33220.309
2024-06-20,33239.531,33710.68,33218.172,33675.148
2024-06-21,33475.941,33551.102,33137.57,33308.77
2024-06-24,33366.059,33863.551,33363.699,33834.91
2024-06-25,33698.809,33838.949,33631.629,33707.211
2024-06-26,33812.191,33826.879,33371.781,33541.98
2024-06-27,33561.09,33609.41,33161.672,33186.891
2024-06-28,33320.012,33376.359,33032.148,33154.051
2024-07-01,33742.531,33838.738,33524.52,33716.539
2024-07-02,33556.23,33580.922,33262.359,33481.398
2024-07-03,33674.84,33965.801,33613.77,33844.949
2024-07-04,33975.391,34131.309,33956.648,34106.012
2024-07-05,34212.27,34341.719,33806.148,33987.672
2024-07-08,33940.82,34442,33870.672,34046.539
2024-07-09,34007.559,34141.922,33791.98,33864.469
2024-07-10,33983.48,34311.199,33847.52,34306.398
2024-07-11,34425.121,34486.641,34227.828,34318.109
2024-07-12,34437.578,34630.98,34388.172,34580.52
2024-07-15,34512.02,34566.82,34330.18,34375.922
2024-07-16,34209.852,34422.18,34028.852,34369.191
2024-07-17,34332.828,34479.738,34169.91,34379.641
2024-07-18,34466.539,34775.699,34336.539,34529.129
2024-07-19,34387.309,34428.039,34179.449,34215.84
2024-07-22,34297.68,34716.5,34297.68,34615.051
2024-07-23,34698.648,34863.879,34542.25,34637.75
2024-07-24,34447.301,34557.672,34164.469,34471.648
2024-07-25,34242.922,34269.469,33501.648,33771.07
