
 
Aug 2026 Prices - 17 July 2026
Strike	Type	Open	High	Low	Last	Change	Settle	Volume	Open Interest
36500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	15453.00 	0 	0
36500 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	34.00 	0 	50
37000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	14959.00 	0 	0
37000 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	37.00 	0 	813
37500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	14465.00 	0 	0
37500 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	41.00 	0 	36
38000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	13971.00 	0 	2
38000 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	45.00 	0 	80
38500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	13478.00 	0 	0
38500 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	49.00 	0 	37
39000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	12985.00 	0 	4
39000 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	54.00 	0 	78
39500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	12493.00 	0 	0
39500 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	59.00 	0 	39
40000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	12001.00 	0 	5
40000 	P 	70.00 	70.00 	70.00 	70.00 	32.08 	65.00 	1 	165
40500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	11510.00 	0 	0
40500 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	72.00 	0 	21
41000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	11020.00 	0 	12
41000 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	79.00 	0 	761
41500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	10531.00 	0 	4
41500 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	88.00 	0 	77
42000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	10043.00 	0 	10
42000 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	98.00 	0 	1209
42500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	9555.00 	0 	22
42500 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	108.00 	0 	46
43000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	9070.00 	0 	3
43000 	P 	126.00 	140.00 	126.00 	140.00 	44.33 	120.00 	4 	142
43500 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	8586.00 	0 	77
43500 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	135.00 	0 	207
44000 	C 	0.00 	0.00 	0.00 	0.00 	N/A 	8104.00 	0 	47
44000 	P 	0.00 	0.00 	0.00 	0.00 	N/A 	150.00 	0 	274
